hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
KELT-17,A,7454,1.65,1.64,-0.018,0.876,4.22,0.65,0.518,9.234,8.646,9.20887,,
WASP-178,A,9360,1.67,2.07,0.21,1.215,4.31,0.43,0.62,9.946,9.703,9.91226,IV-V,
KELT-20,A,8720,1.56,1.76,-0.29,1.104,4.29,0.6,0.641,7.59,7.415,7.57492,V,2
HR 8799,A,7204.58,1.49,1.61,-0.65,0.733,4.3,0.03,0.68153,5.98,5.24,5.90914,,5
bet Pic,A,8038.68,1.54,1.76,-0.21,0.953,4.35,0.012,0.74666,3.85,3.526,3.82015,V,5
MASCARA-4,A,7800,1.92,1.75,0,1.087,4.1,0.8,0.355,8.191,7.75,8.17401,V,7
MASCARA-1,A,7554,2.1,1.72,0,1.176,4,1,0.33,8.28,7.74,8.24243,,8
HD 95086,A,7595,1.49,1.6,0.14,0.821,4.34,0.013,0.75944,7.36,6.789,7.30915,III,8
HAT-P-57,A,6330,1.85,2.77,-0.25,0.806,4.25,1,0.62,10.639,9.433,10.4253,V,8
KELT-21,A,7598,1.64,1.46,-0.405,0.905,4.17,1.6,0.468,10.484,10.09,10.5415,V,8
kap And,B,10900,2.31,2.6,-0.36,1.83,3.78,0.03,0.32158,4.13791,4.571,4.13478,IV-V,9
HIP 78530,B,10500,2.11,2.5,-0.5,1.368,4.13,0.005,0.32956,7.1691,6.903,7.14665,V,9
KELT-9,B,10170,2.36,2.52,-0.03,1.724,4.09,0.3,0.2702,7.55,7.482,7.57675,,9.5
HAT-P-4,F,5860,1.62,0.56,0.24,0.431,4.14,3.9,0.437,11.118,9.770001,11.0634,,
HATS-26,F,6071,2.04,1.3,-0.02,0.704,3.94,4.04,0.218,13.006,11.435,12.8431,,
K2-34,F,6071,1.44,1.15,0.03,0.4,4.18,2.88,0.675,11.447,10.193,11.4357,,
WASP-187,F,6150,2.83,1.54,0,0.967,3.72,2.55,0.096,10.295,8.79,10.1318,,
KELT-4 A,F,6206,1.6,1.2,-0.116,0.535,4.11,4.44,0.411,9.98,8.689,9.95702,,
TOI-150,F,6255,1.53,1.35,0.28,0.497,4.13,2.346,0.5332,11.39,9.94,11.3408,,
TOI-892,F,6261,1.39,1.28,0.24,0.431,4.26,2.2,0.482,11.43,10.106,11.3435,,
HATS-3,F,6351,1.4,1.21,-0.157,0.456,4.22,3.2,0.62,12.433,10.694,11.8914,,
HATS-12,F,6357,1.17,1.16,-0.1,0.863,4.36,2.36,0.269,12.831,11.391,12.6766,,
WASP-186,F,6361,1.47,1.22,-0.08,0.5,4.19,3.1,0.546,10.81,9.532,10.6509,,
PH1,F,6407,1.73,1.53,0.21,0.66,4.14,2,0.293,13.841,12.395,13.6988,,
Kepler-76,F,6409,1.32,1.2,-0.1,0.451,4.2,0.62,0.96729,13.474,12.092,13.2755,,
HATS-27,F,6438,1.74,1.42,0.09,0.669,4.11,2.3,0.379,12.782,11.55,12.6792,,
TOI-163,F,6495,1.65,1.44,0.22,0.636,4.19,1.823,0.4518,11.467,10.124,11.2193,,
KELT-7,F,6768,1.81,1.76,0,0.758,4.5,1.3,0.42,8.56,7.543,8.45173,,
HAT-P-49,F,6820,2.06,2.22,0.07,0.814,4.1,1.5,0.36,10.205,9.346,10.2071,,
HATS-24,F,6125,1.12,1.07,-0.229,0.19,4.37,3.7,1.059,12.915,11.382,12.6911,V,0
HD 5278,F,6203,1.19,1.13,-0.12,0.28,4.5,3,0.9319,7.94,6.605,7.80375,V,7
51 Eri,F,7295,1.49,1.75,-0.027,0.85,4.31,0.02,0.70712,5.21149,4.537,5.15806,IV,0
WASP-172,F,6900,1.91,1.49,-0.1,0.934,4.05,1.79,0.3,10.988,10.13,11.0099,V,1
WASP-167,F,7000,1.79,1.59,0.1,0.897,4.13,1.29,0.39,10.517,9.76,10.5786,V,1
WASP-100,F,6900,1.57,0.77,-0.03,0.766,4.35,1.57,0.28,10.798,9.669,10.6151,,2
CoRoT-3,F,6740,1.56,1.37,0.14,0.391,4.22,2.2,0.431,13.448,11.618,13.2188,V,3
HAT-P-33,F,6446,1.79,1.82,0.05,0.618,4.15,2.3,0.45,11.032,10.004,11.0238,,4
WASP-17,F,6550,1.49,2.28,-0.25,0.613,4.2,2.65,0.98,11.588,10.224,11.3803,,4
WASP-93,F,6700,1.52,1.33,0.07,0.618,4.2,0.7,0.53,10.966,9.942,10.978,,4
Qatar-7,F,6387,1.56,1.41,0.276,0.563,4.2,1.69,0.521,13.134,11.561,12.9275,V,4
KELT-18,F,6670,1.91,1.52,0.09,0.813,4.06,1.9,0.3111,10.16,9.21,10.1036,V,4
HAT-P-50,F,6280,1.7,1.27,-0.18,0.603,4.07,3.37,0.357,11.703,10.5,11.6722,,5
WASP-120,F,6450,1.87,1.39,-0.05,0.675,4.04,2.6,0.299,10.96,9.877,10.8989,,5
KELT-24,F,6509,1.51,1.46,0.186,0.565,4.25,0.78,0.603,8.34,7.154,8.23752,,5
XO-6,F,6720,1.93,1.47,-0.07,0.536,4.04,1.88,1,10.247,9.246,10.191,,5
Kepler-40,F,6510,2.13,1.48,0.1,0.819,3.94,2.8,0.213,14.657,13.27,14.5591,IV,5
EPIC 246851721,F,6202,1.59,1.32,0.141,0.526,4.16,3.02,0.465,11.237,9.893,11.2549,V,5
OGLE-TR-132,F,6210,1.32,1.3,0.37,0.371,4.31,1.2,0.72,16.536,14.99,16.4883,V,5
HD 106315,F,6327,1.3,1.09,-0.311,0.395,4.25,4.48,0.97706,8.951,7.853,8.88841,V,5
XO-4,F,6397,1.45,1.1,-0.04,0.536,4.18,2.1,0.5,10.814,9.406,10.5131,V,5
XO-3,F,6429,1.54,0.58,-0.18,0.706,3.95,2.82,0.22,9.854,8.791,9.73889,V,5
NGTS-2,F,6478,1.7,1.64,-0.06,0.631,4.2,2.17,0.477,10.789,9.799,10.8605,V,5
HD 103774,F,6489,1.58,1.33,0.28,0.544,4.26,1.05,0.61418,7.13463,6,7.00938,V,5
HD 106906,F,6516,2.12,1.5,0.04,0.75,3.9,0.013,0.19434,7.8,6.683,7.68639,V,5
HD 111998,F,6557,1.45,1.18,0.07,0.512,4.19,1.9,0.6648,6.11006,4.993,5.99548,V,5
HAT-P-14,F,6600,1.82,2.65,0.11,0.644,4.25,1.6,0.62,9.988,8.851,9.87283,V,5
HR 2562,F,6785,1.47,1.3,0.02,0.531,4.4,0.6,0.70259,6.11,5.02,5.99741,V,5
HAT-P-8,F,6200,1.57,1.27,0.01,0.519,4.15,3.4,0.46,10.358,8.953,10.1489,,6
HIP 41378,F,6226,1.34,1.17,-0.11,0.396,4.18,4.279,0.68,8.93,7.722,8.80998,,6
WASP-101,F,6380,1.31,1.41,0.2,0.421,4.31,1.14,0.89,10.336,9.075,10.138,,6
WASP-118,F,6410,1.7,1.32,0.16,0.659,4.1,1.17,0.382,11.009,9.788,10.9196,,6
WASP-88,F,6430,1.8,0.94,-0.08,0.724,3.96,3,0.23,11.388,10.322,11.478,,6
WASP-90,F,6430,1.98,1.55,0.11,0.63,4.03,4.4,0.28,11.618,10.248,11.4559,,6
HD 60532,F,6245,2.57,1.5,-0.26,1.001,3.8,2.8,0.09257,4.44,3.355,4.30793,IV,6
Kepler-21,F,6305,1.9,1.41,-0.03,0.715,4.03,3.03,0.287,8.25,6.945,8.12832,IV,6
WASP-18,F,6400,1.23,1.22,0.11,0.39,4.37,1,0.694,9.28,8.131,9.16617,IV-V,6
HD 33564,F,6250,1.44,1.25,-0.12,0.535,4,3,0.57173,5.10111,3.911,4.97155,V,6
WTS-1,F,6250,1.15,1.2,-0.5,0.088,4.4,2.55,1.1129,16.644,15.271,16.4299,V,6
30 Ari B,F,6331,1.41,1.93,0.19,0.381,4.43,0.91,0.743,7.09209,5.822,6.96085,V,6
WASP-158,F,6350,1.39,1.38,0.24,0.483,4.3,1.93,0.75,12.044,10.881,12.0911,V,6
K2-260,F,6367,1.69,1.39,-0.14,0.543,4.15,1.9,0.4005,12.624,11.093,12.4667,V,6
TOI-201,F,6394,1.32,1.32,0.24,0.415,4.32,0.87,0.81,9.07,7.846,8.94004,V,6
WASP-174,F,6400,1.31,1.3,0.09,0.426,4.32,1.65,0.8,11.803,10.579,11.6826,V,6
CoRoT-11,F,6440,1.37,1.27,-0.03,0.378,4.22,2,0.69,12.897,11.248,12.841,V,6
WASP-121,F,6459,1.46,1.35,0.13,0.519,4.24,1.5,0.616,10.514,9.374,10.3746,V,6
HD 113337,F,6576.6,1.5,1.4,0.07,0.632,4.21,0.15,0.56519,6.02078,5.005,5.91168,V,6
WASP-175,F,6229,1.2,1.21,0.15,0.789,4.36,1.745,0.977,12.959,11.471,12.7065,,7
WASP-72,F,6250,2.18,2.78,-0.06,0.724,4.09,3.2,0.38,10.868,9.617,10.8378,,7
WASP-76,F,6250,1.73,1.46,0.23,0.689,4.13,5.3,0.403,9.518,8.243,9.39507,,7
WASP-92,F,6280,1.34,1.19,0,0.275,4.26,2.29,0.697,12.951,11.519,12.8183,,7
WASP-15,F,6300,1.48,1.18,-0.17,0.49,4.35,2.4,0.52,10.972,9.693,10.797,,7
HAT-P-30,F,6304,1.31,1.55,0.13,0.312,4.36,1,0.98,10.352,9.151,10.2998,,7
HAT-P-9,F,6350,1.34,1.28,0.12,0.418,4.29,1.6,0.755,12.344,11.015,12.1536,,7
WASP-1,F,6110,1.47,1.24,0.17,0.441,4.21,3.4,0.548,11.308,10.276,11.5349,V,7
Qatar-10,F,6124,1.25,1.16,0.016,0.3,4.3,3.2,0.823,12.868,11.382,12.6978,V,7
HD 197037,F,6150,1.1,1.11,-0.2,0.239,4.4,1.9,1.03864,6.82294,5.488,6.67106,V,7
HD 205739,F,6176,1.33,1.22,0.19,0.36,4.29,2.84,0.67944,8.56,7.299,8.41991,V,7
HD 86264,F,6210,1.88,1.42,0.202,0.66,4.02,2.24,0.38025,7.41,6.224,7.28372,V,7
KELT-16,F,6236,1.36,1.21,-0.002,0.401,4.25,3.1,0.679,11.717,10.642,11.7959,V,7
HD 89744,F,6291,2.13,1.86,0.224,0.796,4.07,1.88,0.17589,5.73469,4.454,5.60551,V,7
HD 221287,F,6304,1.14,1.25,-0.03,0.22,4.43,1.3,1.21286,7.82,6.569,7.68153,V,7
HD 1666,F,6317,1.93,1.5,0.37,0.73,4.06,1.76,0.18152,8.17,6.964,8.05121,V,7
Kepler-39,F,6350,1.4,1.29,0.1,0.346,4.4,2.1,0.66,14.355,12.918,14.2622,V,7
tau Boo,F,6466.27,1.43,1.32,0.264,0.505,4.25,2,0.64193,4.48635,3.507,4.36617,V,7
WASP-180 A,F,6600,1.19,1.3,0.1,0.315,4.42,1.2,1.17,10.655,9.812,10.9134,V,7
HD 114762,F,5869,1.2,0.8,-0.72,0.221,4.18,13,0.7917,7.3,5.813,7.13955,,8
HD 86081,F,5939,1.46,1.21,0.22,0.38,4.18,3.61,0.35125,8.73,7.299,8.58804,,8
WASP-142,F,6010,1.64,1.33,0.26,0.513,4.13,2,0.42,12.871,11.442,12.7568,,8
HD 148164,F,6032,1.34,1.21,0.24,0.33,4.16,2.41,0.50654,8.23,6.906,8.0907,,8
WASP-71,F,6050,1.82,0.76,0.15,0.768,3.9,3,0.18,10.56,9.32,10.5678,,8
HD 8574,F,6064,1.38,1.34,0.01,0.376,4.28,5.6,0.5598,7.12,5.784,6.98345,,8
HAT-P-29,F,6087,1.3,1.45,0.21,0.272,4.34,2.2,0.93,11.825,10.297,11.7336,,8
HD 332231,F,6089,1.28,1.13,0.036,0.305,4.28,4.3,0.766,8.558,7.242,8.41839,,8
KELT-6,F,6102,1.73,1.42,-0.28,0.493,4.07,6.1,0.39,10.371,9.083,10.1934,,8
WASP-169,F,6110,2.01,1.34,0.06,0.789,3.96,3.802,0.234,12.167,10.483,11.7206,,8
HD 31253,F,6130,1.75,1.7,0.17,0.517,4.18,3,0.25572,7.13266,5.792,6.98479,,8
WASP-28,F,6150,1.09,1.02,-0.29,0.15,4.37,5,1.104,12.274,10.732,12.0286,,8
WASP-99,F,6150,1.64,1.21,0.21,0.543,4.3,3,0.39,9.475,8.088,9.3251,,8
HAT-P-16,F,6158,1.24,1.22,0.17,0.294,4.34,2,1.104,10.911,9.553001,10.7568,,8
WASP-94 A,F,6170,1.48,1.67,0.26,0.51,4.27,2.7,0.73,10.051,8.874,10.0285,,8
WASP-150,F,6218,1.65,1.39,0.156,0.558,4.15,2.95,0.619,12.026,10.747,11.9151,,8
HD 132563,F,6289,1.3,1.23,-0.06,0.374,4.3,2.31,0.79769,8.928001,7.431,8.85821,,8
TOI-677,F,6295,1.28,1.18,0,0.312,4.29,2.92,0.8,9.822,8.429,9.66082,,8
KELT-2 A,F,6327,1.93,1.54,0,0.689,4.5,3.97,0.3,8.68,7.346,8.58393,,8
HAT-P-24,F,6373,1.38,1.37,-0.16,0.408,4.27,2.8,0.74,11.762,10.543,11.6396,,8
HAT-P-2,F,6380,1.39,1.33,0.18,0.53,4.16,1.44,0.434,8.72,7.603,8.59842,,8
HAT-P-56,F,6566,1.47,1.42,0,0.553,3.39,2.01,0.63,10.92,9.83,10.8245,,8
CoRoT-21,F,6200,1.95,1.29,0,0.705,3.7,4.1,0.255,16.058,13.813,15.8558,IV,8
HD 156411,F,5900,2.16,1.25,-0.12,0.731,4.07,4.28,0.11979,6.67,5.17,6.5121,IV-V,8
HD 30562,F,5882,1.61,1.12,0.2,0.45,4.07,3.6,0.34122,5.77466,4.31,5.61828,V,8
HD 217786,F,5966,1.27,1.02,-0.135,0.276,4.35,7.6,0.77578,7.78,6.352,7.63573,V,8
HD 50554,F,5987,1.02,1.04,-0.04,0.143,4.38,2.16,1.08476,6.8561,5.467,6.69786,V,8
Kepler-74,F,6000,1.12,1.18,0.42,0.332,4.44,0.8,1.3,14.487,12.958,14.3652,V,8
HD 23596,F,6040,1.53,1.47,0.28,0.458,4.23,5.68,0.39478,7.26122,5.874,7.10356,V,8
Kepler-43,F,6041,1.42,1.32,0.33,0.326,4.26,0.69,0.737,13.986,12.549,13.8894,V,8
OGLE-TR-56,F,6050,1.74,1.17,0.25,0.35,4.09,3,0.361,15.3,,12.909225,V,8
HD 231701,F,6101,1.53,1.21,0.05,0.47,4.31,3.43,0.52688,8.97,7.657,8.83051,V,8
ups And,F,6105.51,1.56,1.3,0.101,0.525,4.07,5,0.36993,4.09565,2.859,3.98687,V,8
WASP-103,F,6110,1.44,1.22,0.06,0.413,4.22,4,0.583,12.402,10.767,12.1931,V,8
HD 153950,F,6124,1.28,1.25,-0.01,0.346,4.32,4.3,0.61762,7.39,6.006,7.23813,V,8
HD 25171,F,6125,1.23,1.08,-0.12,0.276,4.26,4.802,0.94486,7.77,6.489,7.638,V,8
Kepler-117,F,6150,1.61,1.13,-0.04,0.538,4.1,5.3,0.41,14.282,13.011,14.2472,V,8
HD 40979,F,6165,1.21,1.45,0.2,0.291,4.43,3.56,0.86779,6.75512,5.452,6.59963,V,8
HD 179949,F,6168,1.25,1.21,0.137,0.301,4.34,1,0.85977,6.25,4.936,6.1106,V,8
K2-98,F,6172,1.57,1.2,-0.06,0.504,4.13,5.2,0.633,12.216,10.869,12.0398,V,8
WASP-38,F,6180,1.52,1.76,-0.02,0.453,4.25,3.29,0.71,9.391,7.998,9.20974,V,8
HD 19994,F,6188,1.8,1.36,0.27,0.58,4.29,2.4,0.27721,5.06345,3.748,4.93038,V,8
HD 110082,F,6200,1.19,1.21,0.08,0.281,4.2,0.25,1,9.23,8.002,9.11523,V,8
TrES-4,F,6200,1.66,1.08,0.14,0.726,4.06,2.2,0.33,11.932,10.33,11.4731,V,8
HD 212301,F,6239,1.16,1.55,0.18,0.243,4.5,1,1.08321,7.76,6.466,7.63495,V,8
HD 196885 A,F,6254,1.31,1.28,0.22,0.38,4.31,3.12,0.56805,6.39677,5.072,6.26141,V,8
HD 13908,F,6255,1.67,1.29,0.01,0.602,4.11,2.9,0.23621,7.52,6.21,7.3845,V,8
HD 169830,F,6299,1.2,1.4,0.21,0.662,4.1,2.8,0.21453,5.9,4.688,5.77641,V,8
HD 67087,F,6330,1.55,1.36,0.25,0.54,4.19,1.45,0.63218,8.05,6.866,7.92235,V,8
NGTS-9,F,6330,1.38,1.34,0.31,0.389,4.37,0.96,0.64571,12.868,11.452,12.6547,V,8
HD 108147,F,6255.73,1.21,1.22,0.18,0.303,4.36,3.2,0.97901,6.99,5.721,6.85345,V,9
HAT-P-43,F,5645,1.1,1.05,0.23,0.045,4.37,5.7,1.05193,13.279,11.764,13.2165,,9
WASP-141,F,5900,1.37,1.25,0.29,0.315,4.26,5,0.69,12.65,11.194,12.4822,,9
HD 220773,F,5940,1.68,1.16,0.09,0.498,4.24,4.4,0.33411,7.10831,5.651,6.94595,,9
WASP-20,F,5940,1.39,1.2,-0.008,0.338,4.23,7,0.63,10.675,9.39,10.6503,,9
WASP-176,F,5941,1.93,1.34,0.164,0.617,4,4.81,0.371,12.006,10.648,11.9392,,9
WASP-74,F,5990,1.42,0.98,0.39,0.4,4.39,3.7,0.48,9.75,8.221,9.5723,,9
WASP-73,F,6030,2.55,2.52,0.14,0.795,3.93,4.3,0.21,10.468,9.028,10.2607,,9
CoRoT-25,F,6040,1.19,1.09,-0.01,0.141,4.31,4.5,0.64637,14.79,12.846,14.711,,9
WASP-117,F,6040,1.22,1.29,-0.11,0.274,4.28,4.6,1,10.139,8.78,10.0269,,9
WASP-94 B,F,6040,1.35,1.24,0.23,0.351,4.26,4,0.54332,10.589,9.188,10.4055,,9
WASP-124,F,6050,1.02,1.07,-0.02,0.149,4.44,2.1,1.39,12.724,11.31,12.5754,,9
WASP-106,F,6055,1.31,0.93,-0.09,0.422,4.23,7,0.57,11.21,10.161,11.3659,,9
WASP-54,F,6100,1.76,1.08,-0.27,0.575,4,6.9,0.28,10.413,9.035,10.2441,,9
WASP-75,F,6100,1.26,1.14,0.07,0.304,4.29,3.5,0.79,11.591,10.062,11.3347,,9
WASP-159,F,6120,2.11,1.41,0.22,0.678,3.94,3.4,0.21,12.836,11.017,12.2951,,9
K2-107,F,6061,1.81,1.3,0.14,0.464,4.04,4.25,0.457,13.012,11.21,12.7669,IV,9
HD 224538,F,6097,1.54,1.34,0.27,0.47,4.19,2,0.53144,8.06,6.76,7.92192,iV-V,9
WASP-168,F,6000,1.12,1.08,-0.01,0.155,4.37,3.96,1.1,12.124,10.443,11.7139,V,9
CoRoT-14,F,6035,1.21,1.13,0.05,0.119,4.35,4.2,0.91,15.932,13.806,15.8116,V,9
WASP-166,F,6050,1.22,1.19,0.19,0.283,4.34,2.1,0.92,9.351,8.032,9.257,V,9
CoRoT-19,F,6090,1.65,1.21,-0.02,0.544,4.07,5,0.38,14.135,11.837,13.7831,V,9
CoRoT-6,F,6090,1.02,1.05,-0.2,0.026,4.43,2.5,1.31,13.961,12.119,13.7459,V,9
K2-237,F,6099,1.38,1.23,0,0.285,4.27,2.55,0.663,11.602,10.217,11.4668,V,9
CoRoT-5,F,6100,1.19,1,-0.25,0.18,4.19,6.9,1.01,14.043,12.546,13.9021,V,9
HD 10647,F,6218,1.1,1.11,0,0.149,4.62,1.4,1.2517,5.52,4.34,5.38178,V,9
HD 23079,F,5974,1.07,1.12,-0.13,0.133,4.43,2,1.22361,7.12,5.705,6.96235,V,9.5
HD 38283,F,5981,1.49,1.37,-0.18,0.411,4.23,6.2,0.46608,6.69,5.267,6.54392,V,9.5
HD 7449,F,6024,0.97,1.05,-0.105,0.101,4.51,2.1,1.45002,7.5,6.084,7.34996,V,9.5
Kepler-78,G,5089,0.75,0.84,-0.14,-0.498,4.6,0.625,2.84,11.717,9.586,11.5287,,
HATS-5,G,5304,0.87,0.94,0.19,-0.268,4.53,3.6,1.8907,12.598,10.703,12.4288,,
TOI-849,G,5373.8,0.92,0.93,0.19,-0.218,4.48,6.7,1.685,11.981,10.418,12.0645,,
HATS-4,G,5403,0.93,1,0.43,-0.187,4.51,2.1,1.35215,13.516,11.612,13.2862,,
HATS-28,G,5498,0.92,0.93,0.01,-0.157,4.48,6.2,1.67,13.981,12.086,13.7929,,
K2-113,G,5660,1.24,1.04,0.27,0.009,4.27,5.9,0.987,13.744,11.949,13.5039,,
HATS-29,G,5670,1.07,1.03,0.16,0.029,4.39,5.5,1.17,12.62,10.877,12.4594,,
NGTS-12,G,5690,1.59,1.02,-0.03,0.338,4.04,9.4,0.359,12.382,10.588,12.1279,,
HATS-25,G,5715,1.11,0.99,0.02,0.068,4.35,7.5,1.03,13.172,11.416,12.9353,,
HD 110113,G,5732,0.97,1,0.14,-0.032,4.46,4,1.51187,10.09,8.502,9.91036,,
TOI-481,G,5735,1.66,1.14,0.26,0.435,4.06,6.7,12.52,9.972,8.443,9.84659,,
BD+20 594,G,5766,1.08,1.67,-0.15,-0.056,4.5,3.34,1.89,10.849,9.368,10.8644,,
HATS-30,G,5943,1.06,1.09,0.06,0.097,4.42,2.3,1.29,12.283,10.793,12.0815,,
HAT-P-5,G,5960,1.12,1.04,0.24,0.187,4.37,2.6,1.04,11.954,10.481,11.8224,,
HD 213885,G,5978,1.1,1.07,-0.04,0.139,4.38,3.8,1.127,7.95,6.419,7.80173,,
HATS-18,G,5600,1.02,1.04,0.28,-0.032,4.44,4.2,1.37,14.188,12.289,13.8786,V,
HATS-23,G,5780,1.2,1.12,0.28,0.155,4.33,4.2,0.91,13.84,12.262,13.752,V,
HATS-17,G,5846,1.09,1.13,0.3,0.093,4.42,2.1,1.22,12.402,10.698,12.2179,V,
HD 233832,G,4981,0.68,0.71,-0.66,-0.523,4.49,5.417,2.87189,10.15,8.013,9.94557,,0
HD 171028,G,5671,2.47,1.53,-0.48,0.733,3.84,8.59,0.08728,8.292,6.604,8.10233,,0
