hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_vmag,sy_kmag,sy_gaiamag,lum_class,sub_class
HD 83443,K,5442,0.94,0.79,0.35,-0.102,4.39,3.2,1.32072,8.23,6.444,8.0265,V,0
HD 189733,K,5052,0.75,0.79,-0.02,-0.461,4.49,1.4,2.65,7.67,5.541,7.41432,V,0
HD 69830,K,5385,0.9,0.86,-0.05,-0.22,4.47,7,1.83,5.96004,4.165,5.75392,V,0
HAT-P-19,K,4990,0.82,0.84,0.23,-0.432,4.54,8.8,2.32555,12.826,10.546,12.5567,,1
HD 330075,K,5000,0.84,0.47,0.05,-0.33,4.26,6.2,2.01681,9.36,7.171,9.09159,,1
HD 22781,K,5027,0.74,0.75,-0.37,-0.476,4.6,4.8,2.83035,8.78,6.607,8.52445,,1
HAT-P-26,K,5079,0.87,1.12,-0.04,-0.359,4.56,9,2.37,11.757,9.581,11.4641,,1
HIP 116454,K,5089,0.72,0.81,-0.16,-0.471,4.59,2,3,10.19,8.029,9.93208,,
HAT-P-52,K,5131,0.89,0.89,0.28,-0.305,4.48,9.4,1.75,14.107,11.621,13.787,,0.5
HD 97658,K,5175,0.74,0.89,-0.3,-0.434,4.49,6,3.06,7.76,5.734,7.5136,,1
WASP-2,K,5180,0.87,0.9,0.12,-0.313,4.51,8.2,1.94,11.728,9.632,11.5638,,1
K2-105,K,5464,0.91,0.99,0.25,-0.189,4.51,0.6,1.541,11.752,10.091,11.7124,,1
HD 7199,K,5371,0.97,0.77,0.32,-0.155,4.35,6.79,1.33716,8.06,6.229,7.83743,IV,1
HD 46375,K,5285,0.94,0.92,0.24,-0.245,4.53,9,1.64032,7.91,6,7.69533,IV-V,2
CoRoT-24,K,4950,0.86,0.91,0.3,-0.601,4.55,11,1.94863,15.383,12.924,15.1801,V,1
CoRoT-10,K,5075,0.79,0.89,0.26,-0.726,4.65,3,3.32,15.293,11.782,14.6645,V,1
CoRoT-8,K,5080,0.77,0.88,0.3,-0.4,4.58,3,2.7,14.792,11.463,14.2195,V,0
HD 101930,K,5108,0.86,0.57,0.15,-0.31,4.33,1,1.80149,8.21,6.147,7.96664,V,1
HD 15337,K,5125,0.86,0.9,0.15,-0.326,4.53,5.1,2.07949,9.1,7.044,8.85598,V,1
Kepler-428,K,5150,0.8,0.87,0.09,-0.39,4.57,5,1.704,15.362,13.234,15.2218,V,1
HD 25015,K,5160,0.83,0.86,0.04,-0.384,4.4,4,2.24688,8.87,6.806,8.59876,V,1
Kepler-425,K,5170,0.86,0.93,0.24,-0.323,4.54,5,1.448,14.845,12.806,14.7301,V,1
NGTS-14 A,K,5187,0.84,0.9,0.1,-0.311,4.2,5.9,2.00067,13.268,11.305,13.0986,V,1
Qatar-4,K,5215,0.85,0.9,0.103,-0.318,4.53,0.17,2.07,13.574,11.519,13.4114,V,1
HD 103197,K,5250,0.88,0.8,0.22,-0.328,4.45,9.1,1.74247,9.4,7.426,9.16421,V,1
HD 85390,K,5186,0.8,0.76,-0.07,-0.367,4.41,7.2,2.21458,8.54,6.491,8.29462,V,1.5
HD 204941,K,5026,0.78,0.58,-0.19,-0.509,4.42,6.67,2.35641,8.45,6.357,8.19092,V,1.5
GJ 86,K,5182,0.77,0.93,-0.22,-0.39,4.63,11.3,2.51158,6.12,4.125,5.88516,V,1
HAT-P-18,K,4803,0.75,0.77,0.1,-0.569,4.57,12.4,2.94,12.597,10.234,12.3682,,2
HD 156668,K,4850,0.72,0.77,0.05,0.23,4.6,8.6,2.53285,8.43,6.004,8.10753,,2
HATS-7,K,4985,0.81,0.85,0.25,-0.434,4.54,7.8,2.22,13.347,10.976,13.0499,,2
WASP-177,K,5017,0.89,0.88,0.25,-0.412,4.49,9.7,1.78,12.312,10.163,12.0715,,3
HD 216520,K,5103,0.76,0.82,-0.16,-0.452,4.54,6,2.39462,7.53,5.449,7.27896,,2
HD 137388,K,5181,0.88,0.68,0.19,-0.337,4.39,6.45,1.71112,8.71,6.763,8.47996,IV,2
eps Ind A,K,4754,0.78,0.75,-0.134,-0.622,4.57,4.7,2.56044,4.69,2.237,4.34562,V,2
HD 99492,K,4815,0.83,0.48,0.24,-0.475,4.28,4.8,2.83673,7.56727,5.256,7.26005,V,2
HD 27894,K,4875,0.89,0.8,0.3,-0.449,4.22,3.9,1.84634,9.36,7.071,9.06573,V,3
WASP-145 A,K,4900,0.68,0.76,-0.04,-0.684,4.65,6.99,3.36,11.636,9.194,11.3583,V,2
K2-36,K,4916,0.72,0.79,-0.09,-0.57,4.62,1.4,2.99,11.726,9.454001,11.527,V,2
Kepler-62,K,4925,0.64,0.69,-0.37,-0.678,4.68,7,3.8,13.965,11.659,13.7197,V,2
HD 104067,K,4937,0.74,0.62,0,-0.513,4.49,4.33,2.62618,7.92,5.614,7.62029,V,2
Kepler-411,K,4974,0.82,0.87,0.11,-0.579,4.6,0.212,3.55299,12.448,10.062,12.2327,V,2
WASP-52,K,5000,0.79,0.87,0.03,-0.354,4.58,0.4,2.48,12.192,10.086,11.9537,V,2
WTS-2,K,5000,0.75,0.82,0.2,-0.288,4.6,0.6,2.72,15.954,13.414,15.5965,V,2
HD 13808,K,5035,0.78,0.77,-0.21,-0.435,4.58,7.2,2.45775,8.36,6.25,8.11006,V,2
OGLE-TR-111,K,5040,0.83,0.82,0.19,-0.339,4.54,8.8,2.14,16.707,14.112,16.5277,V,2
Qatar-6,K,5052,0.72,0.82,-0.025,-0.514,4.64,1.02,3.08,11.496,9.226,11.1249,V,2
HD 108341,K,5122,0.79,0.84,0.04,-0.37,4.45,4.9,2.56687,9.38,7.326,9.14337,V,2
WASP-45,K,5150,0.85,0.85,-0.03,-0.336,4.5,12.7,1.92,11.801,10.294,12.0487,V,2
WASP-144,K,5200,0.81,0.81,0.18,-0.129,4.53,8.71,2.17,13.085,10.897,12.915,V,2
AB Pic,K,5285,1,0.9,0.04,-0.226,4.53,0.03,1.12014,9.13,6.981,8.8378,V,2
eps Eri,K,5136,0.77,0.78,-0.13,-0.419,4.71,0.5,2.78042,3.71548,1.776,3.47719,V,2
TOI-942,K,4928,1.02,0.79,-0.221,-0.369,4.31,0.09,1.634,11.982,9.639,11.6346,V,2.5
HD 176986,K,4931,0.78,0.79,0.03,-0.48,4.44,4.3,2.29582,8.42,6.22,8.14249,V,2.5
HD 40307,K,4956,0.72,0.77,-0.31,-0.639,4.47,4.5,3.02559,7.17,4.793,6.84367,V,2.5
HD 3765,K,5049.8,0.83,0.85,0.172,-0.416,4.53,2,2.33565,7.36,5.164,7.07827,V,2
Kepler-91,K,4550,6.3,1.31,0.11,1.225,2.95,4.47,0.0073,12.712,10.136,12.4762,,3
HAT-P-20,K,4595,0.69,0.76,0.35,-0.721,4.63,6.7,2.36,11.231,8.601,10.9903,,3
K2-101,K,4819,0.73,0.8,0.14,-0.595,4.51,0.79,2.92,12.892,10.536,12.6619,,3
WASP-156,K,4910,0.76,0.84,0.24,-0.435,4.6,6.4,2.68,11.559,9.339,11.3227,,3
K2-233,K,5033,0.71,0.79,-0.09,-0.523,4.64,0.36,3.17211,10.883,8.375,10.4191,,3
WASP-89,K,5130,0.88,0.92,0.15,-0.343,4.51,1.3,1.92,13.21,11.004,12.989,,3
HD 181433,K,4918,0.79,0.63,0.38,-0.456,4.45,2,2.14212,8.4,6.094,8.09228,IV,3
HD 219134,K,4699,0.78,0.81,0.11,-0.577,4.57,11,2.438,5.56911,3.261,5.2402,V,3
HD 162020,K,4723,0.75,0.42,-0.1,-0.602,4.31,6,2.6454,9.1,6.539,8.75949,V,3
WASP-11,K,4800,0.89,1.42,0,0,4.45,7.6,2.8,11.567,9.421,11.5535,V,3
BD-08 2823,K,4816,0.71,0.5,-0.06,-0.626,4.43,4.5,3.31801,9.86,7.323,9.50331,V,3
HD 128356,K,4875,0.85,0.65,0.17,-0.444,4.52,10,1.73248,8.2411,5.997,7.97745,V,3
K2-110,K,4950,0.71,0.75,-0.21,-0.567,4.61,8,3.515,11.985,9.607,11.6627,V,3
HD 93083,K,4995,0.85,0.7,0.15,-0.387,4.26,1,2.04813,8.3,6.132,8.04206,V,3
HD 103720,K,5017,0.73,0.79,-0.02,-0.458,4.43,3.8,2.46811,9.5,7.283,9.22376,V,3
HD 215497,K,5110,0.85,0.67,0.2,-0.41,4.4,7,1.97785,8.96,6.784,8.68605,V,3
Wolf 503,K,4716,0.69,0.69,-0.47,-0.644,4.62,11,4.10627,10.27,7.617,9.89816,V,3.5
HD 20868,K,4802,0.76,0.39,0.05,-0.529,4.26,4.5,2.45251,9.92,7.543,9.61323,IV,3.5
HD 190007,K,4610,0.79,0.77,0.16,-0.68,4.58,1,3.25324,7.46,4.796,7.06341,V,3.5
HD 218566,K,4730,0.85,0.76,0.28,-0.452,4.46,8.5,2.02846,8.6,6.223,8.27432,V,3
HD 114386,K,4836,0.76,0.6,-0.05,-0.54,4.45,1,2.44623,8.73,6.351,8.41823,V,3
HD 192310,K,5166,0.73,0.8,-0.04,-0.415,4.51,7.81,2.1457,5.73,3.501,5.47661,V,3
HAT-P-12,K,4650,0.7,0.73,-0.29,-0.678,4.61,2.5,2.205,12.665,10.108,12.4197,,4
WASP-132,K,4775,0.74,0.8,0.22,-0.584,4.61,0.5,2.82,11.938,9.674,11.7538,,4
HAT-P-11,K,4780,0.68,0.81,0.31,-0.567,4.66,6.5,3.70008,9.46,7.009,9.15098,,4
Kepler-167,K,4890,0.73,0.77,-0.03,-0.57,4.61,3.3,2.88,14.284,11.832,14.0004,,4
HIP 57274,K,4510,0.78,0.29,0.01,0.19,4.11,7.87,1.96681,8.97,6.286,8.57069,V,4
HIP 65 A,K,4590,0.72,0.78,0.18,-0.678,4.61,4.1,2.898,11,8.29,10.5895,V,4
TOI-824,K,4600,0.69,0.71,-0.092,-0.71,4.61,7.5,2.98,11.314,8.432,10.7616,V,4
HD 125595,K,4691,0.74,0.29,0.08,-0.617,4.17,3.53,2.51689,9.03,6.447,8.6555,V,4
OGLE-TR-113,K,4790,0.77,0.78,0.09,-0.529,4.55,13.2,2.365,15.8485,,15.443,V,4
HD 63454,K,4812,0.77,0.42,0.1,-0.592,4.28,1,2.36205,9.37,6.998,9.05402,V,4
GJ 143,K,4640,0.69,0.73,0.003,-0.686,4.61,3.8,3.03,8.08,5.375,7.67906,V,4
HD 285507,K,4503,0.69,0.82,0.13,-0.719,4.67,0.625,1.89557,10.49,7.665,10.0404,V,4.5
Kepler-80,K,4540,0.68,0.73,0.04,-0.77,4.64,2,2.33,15.23,12.253,14.7555,,4.5
K2-102,K,4695,0.71,0.77,0.14,-0.657,4.53,0.79,3.03,13.083,10.64,12.8466,,5
WASP-69,K,4700,0.86,0.98,0.15,-0.468,4.5,7,2.18,9.873,7.459,9.48466,,5
HD 85512,K,4300,0.71,0.43,-0.26,-0.775,4.36,5.61,2.92932,7.67,4.717,7.18726,V,5
Qatar-9,K,4309,0.7,0.72,0.252,-0.821,4.61,7.5,3.015,14.023,11.104,13.6871,V,5
GJ 9827,K,4340,0.6,0.61,-0.26,-0.942,4.66,10,3.97,10.37,7.193,9.83773,V,5
WASP-59,K,4650,0.61,0.72,-0.15,-0.794,4.72,0.5,4.38,12.659,9.723,12.3142,V,5
WASP-10,K,4675,0.7,0.75,0.05,-0.64,4.63,7,2.13,12.413,9.983,12.1739,V,5
BD-17 63,K,4714,0.69,0.74,-0.03,-0.678,4.26,4.3,2.75844,9.62,6.914,9.20112,V,5
K2-136,K,4499,0.66,0.74,0.15,-0.788,4.66,0.688,3.52,11.101,8.368,10.8545,,5.5
WASP-107,K,4425,0.67,0.68,0.02,-0.879,4.63,3.4,3.441,11.592,8.637,11.174,,6
PDS 70,K,3972,1.26,0.76,-0.11,-0.456,3.68,0.005,0.5411,12.032,8.542,11.5848,,7
TOI-1130,K,4250,0.69,0.68,0.2,-0.854,4.6,8.2,2.97,11.595,8.351,10.9028,,7
HAT-P-54,K,4390,0.62,0.65,-0.127,-0.902,4.67,3.9,2.08306,13.398,10.326,13.0172,,7
Kepler-61,K,4017,0.62,0.64,0.03,-0.971,4.67,1,4.93239,15.277,12.272,15.0426,V,7
GJ 414 A,K,4120,0.68,0.65,0.24,-0.924,4.65,12.4,2.1524,8.31,4.979,7.72808,V,7
WASP-43,K,4400,0.6,0.58,-0.01,-0.825,4.49,7,2.526,12.305,9.267,11.907,V,7
BD-11 4672,K,4550,0.64,0.65,-0.35,-0.804,4.64,7.4,3.53,10.03,6.867,9.48511,V,7
K2-141,K,4599,0.68,0.71,-0.06,-0.75,4.62,6.3,3.164,11.454,8.401,10.7217,V,7
Kepler-287,K,5806,1.03,0.97,0.117,-0.134,4.4,7.6,13.82309,14.952,13.135,14.7442,V,3
BD-06 1339,K,4324,0.69,0.7,-0.14,-1.022,4.74,4.4,2.747,9.7,6.305,9.10677,V,7
WASP-80,K,4143,0.59,0.58,-0.13,-1.04,4.66,7,4.05,11.841,8.351,11.273,V,7
HD 113538,K,4462,0.53,0.58,-0.24,-1.046,3.79,4.3,1.97036,9.05,5.637,8.4428,V,9
Kepler-42,M,3068,0.17,0.13,-0.33,-2.62,5.11,4.5,26.8,16.7,11.465,14.9931,,
GJ 163,M,3500,0.41,0.4,0.1,-1.708,4.82,6,8.24778,11.79,7.135,10.6771,,
Kepler-45,M,3820,0.55,0.59,0.28,-1.276,4.7,0.5,4,16.744,12.892,15.9804,,
K2-315,M,3300,0.2,0.17,-0.24,-2.387,5.09,1,32.6,17.67,11.838,15.6791,,
LP 791-18,M,2960,0.17,0.14,-0.09,-2.697,5.12,0.5,31.1,16.91,10.644,15.0715,,
TOI-1899,M,3841,0.61,0.63,0.31,-1.057,4.67,7.4,3.95,14.88,10.509,13.5553,,0
ROXs 12,M,3850,1.07,0.87,0.14,-0.79,4.07,0.008,0.56288,14.763,9.099,13.2655,,0
TOI-1728,M,3980,0.62,0.65,0.25,-1.056,4.66,7.1,3.78,12.39,8.803001,11.7294,,0
EPIC 211822797,M,4148.21,0.57,0.66,0.14,-1.153,4.65,0.79,3.87972,15.133,11.429,14.5263,,0
Kepler-26,M,3914,0.51,0.54,-0.13,-1.06,4.68,2.95,5.98262,15.853,12.63,15.4089,V,0
Kepler-303,M,3944,0.48,0.57,-0.414,-1.066,4.77,3.31,5.28345,14.917,11.596,14.396,V,0
Kepler-52,M,4075,0.52,0.54,0,-0.996,4.74,3.55,8.09685,15.513,12.36,15.0589,V,0
Kepler-83,M,4082,0.61,0.66,-0.2,-1.102,4.69,3.09,6.12072,16.145,12.947,15.7832,V,0
Kepler-120,M,4096,0.53,0.65,-0.12,-0.677,4.73,3.63,2.77559,14.995,12.307,14.7188,V,0
Kepler-252,M,4208,0.55,0.61,-0.13,-0.786,4.72,13.9,7.39154,15.406,12.466,15.0293,V,0
Kepler-235,M,4255,0.55,0.58,-0.51,-1.102,4.73,6,4.14,16.567,13.116,15.9695,V,0
Kepler-81,M,4385,0.59,0.64,-0.18,-0.889,4.7,3.63,4.19265,15.258,12.392,15.004,V,0
Kepler-155,M,4508,0.62,0.64,-0.142,-1.21,4.68,2.9,1.00752,14.654,11.805,14.24,V,0
Kepler-210,M,4559,0.65,0.77,0.277,-0.799,4.66,1.78,4.67612,14.126,11.313,13.8043,V,0
Kepler-28,M,4590,0.7,0.75,0.34,-0.745,4.29,2.24,4.13623,15.13,12.719,15.0257,V,0
Kepler-114,M,4605,0.67,0.77,0.229,-0.685,4.65,2.69,3.41328,13.961,11.366,13.7125,V,0
Kepler-159,M,4625,0.66,0.63,-0.28,-0.754,4.65,2.51,5.02511,15.386,12.357,14.8882,V,0
Kepler-309,M,4713,0.72,0.67,0.11,-0.574,4.61,3.02,2.8044,15.418,12.852,15.1261,V,0
Kepler-94,M,4781,0.76,0.81,0.34,-0.613,4.59,1.41,2.9,13.071,10.594,12.8567,V,0
K2-21,M,4222.06,0.65,0.68,-0.11,-0.985,4.83,1,3.1676,12.851,9.417,12.2785,V,0
GJ 338 B,M,4005,0.58,0.64,-0.03,-1.101,4.68,4,4.04454,7.7,4.136,7.04775,V,0
K2-3,M,3896,0.56,0.6,-0.32,-1.15,4.73,1,5.05,12.168,8.561,11.4785,V,0
TOI-1235,M,3997,0.62,0.63,0.33,-1.054,4.64,5.3,3.74,11.495,7.893,10.8492,V,0.5
Kepler-186,M,3788,0.47,0.48,-0.28,-1.385,4.77,4,6.4,15.138,11.605,14.5994,,1
GSC 06214-00210,M,4200,0.9,0.6,-0.06,-0.546,4.37,0.005,1.32072,12.416,9.152,11.8633,,1
Kepler-225,M,3682,0.48,0.59,-0.04,-0.996,4.78,2.88,2.7212,16.294,13.253,15.9504,V,1
GJ 536,M,3685,0.5,0.52,-0.08,-1.377,4.75,0.4,5.4445,9.71,5.683,8.85881,V,1
Kepler-54,M,3705,0.5,0.51,-0.27,-1.301,4.75,13.8,0.18002,16.282,12.648,15.8133,V,1
TOI-776,M,3709,0.54,0.54,-0.2,-1.31,4.73,7.8,6.024,11.536,7.615,10.7409,V,1
Kepler-617,M,3712,0.48,0.51,-0.07,-1.305,4.77,3.98,4.72214,15.549,11.573,14.8277,V,1
HATS-6,M,3724,0.57,0.57,0.2,-1.1,4.68,8.1,4.36,15.044,11.224,14.3601,V,1
Kepler-236,M,3750,0.51,0.6,-0.05,-1.229,4.75,3.16,3.70571,16.014,12.312,15.3743,V,1
Kepler-231,M,3767,0.49,0.58,-0.1,-1.036,4.78,3.47,33.27197,15.813,12.589,15.3896,V,1
Kepler-125,M,3810,0.51,0.54,-0.14,-1.328,4.74,13.5,4.68232,15.431,11.682,14.7675,V,1
Kepler-138,M,3841,0.44,0.52,-0.28,-1.222,4.89,4.68,9.5,13.04,9.506,12.4715,V,1
Kepler-32,M,3900,0.53,0.58,0,-1.292,4.64,2.69,4.21511,16.36,12.757,15.8123,V,1
Kepler-49,M,3974,0.53,0.55,0.03,-1.131,4.73,2.88,4.13698,15.655,12.383,15.2293,V,1
Kepler-267,M,4258,0.56,0.54,-0.18,-1.229,4.73,3.31,4.69279,16.69,12.485,15.4693,V,1
Kepler-205,M,4321,0.55,0.59,-0.125,-0.956,4.74,3.16,1.97675,13.779,10.833,13.4947,V,1
K2-26,M,3785,0.52,0.56,-0.13,-1.31,4.72,1,3.92,14.528,10.53,13.7519,V,1
GJ 832,M,3472,0.44,0.45,-0.3,-1.585,4.7,9.24,7.16403,8.66,4.501,7.73761,V,1.5
GJ 3470,M,3600,0.55,0.54,0.2,-1.538,4.7,1.65,3.3,12.332,7.989,11.3537,V,1.5
GJ 649,M,3700,0.46,0.54,0.08,-1.365,4.72,0.44,5.25992,9.7,5.624,8.81875,V,1.5
TOI-700,M,3461,0.42,0.41,-0.07,-1.635,4.8,1.5,7.68,13.151,8.634,12.0665,V,2
HD 285968,M,3543,0.49,0.5,-0.1,-1.658,4.75,3.62,5.92298,9.95,5.607,8.99955,V,2
Kepler-249,M,3568,0.48,0.51,-0.34,-1.495,4.78,3.09,5.34498,16.37,11.966,15.2305,V,2
Kepler-296,M,3740,0.48,0.5,-0.08,-1.509,4.77,13.9,6.4,16.363,12.6,15.9015,V,2
GJ 674,M,3600,0.36,0.35,-0.28,-1.796,4.86,0.55,10.21003,9.38,4.855,8.33063,V,2.5
G 9-40,M,3348,0.31,0.29,0.04,-1.971,4.93,9.9,14.11,13.821,9.19,12.7331,V,2.5
K2-9,M,3390,0.31,0.3,-0.25,-1.921,4.82,1,9.88,15.86,11.495,14.8665,V,2.5
GJ 436,M,3479,0.46,0.47,0.02,-1.585,4.79,6,7,10.67,6.073,9.57148,V,2.5
GJ 317,M,3510,0.43,0.42,0.36,-1.687,4.8,5,7.64772,12.4,7.028,10.7539,V,2.5
K2-104,M,3546.46,0.49,0.43,0.14,-1.434,4.74,0.79,5.56106,15.989,12.014,15.3955,,2.5
GU Psc,M,4031.81,0.45,0.33,0.1,-1.602,4.78,0.1,6.89528,14.146,9.345,12.9656,,3
GJ 849,M,3241,0.53,0.65,0.24,-1.583,4.8,3,6.51372,10.41,5.594,9.2245,V,3
K2-288 B,M,3341,0.32,0.33,-0.21,-1.93,4.96,1,14.2,13.868,9.724,14.5451,V,3
GJ 581,M,3396,0.33,0.31,-0.25,-1.885,4.89,4.3,12.22384,10.57,5.837,9.411,V,3
HATS-71,M,3405,0.48,0.49,0.17,-1.56,4.77,3.2,6.26,16.437,11.727,15.3512,V,3
L 98-59,M,3412,0.31,0.31,-0.5,-1.947,4.94,1,15.8,11.685,7.101,10.5976,V,3
K2-95,M,3548,0.42,0.44,-0.03,-1.635,4.84,0.79,1.12,17.236,12.474,16.0836,,3
K2-146,M,3385,0.33,0.33,-0.02,-1.824,4.9,5,13.1,16.7,11.37,14.9834,V,3
LSPM J2116+0234,M,3475,0.43,0.43,-0.05,-1.699,4.95,2,7.5179,11.961,7.324,10.8595,V,3
Kepler-445,M,3157,0.21,0.18,0.27,-2.1,4.93,6.61,14.39263,18.19,12.61,16.7157,,4
Ross 128,M,3192,0.2,0.17,-0.02,-2.441,5.05,5,27.33385,11.12,5.654,9.59067,,4
Kepler-446,M,3359,0.24,0.22,-0.3,-2.248,5.03,3.72,25.35714,17.5041,12.827,16.3101,,4
GJ 876,M,3271,0.3,0.32,0.05,-1.907,4.87,1,10.86557,10.16,5.01,8.8753,V,2.5
GJ 4276,M,3387,0.41,0.41,0.12,-1.706,4.97,6.9,8.27661,12.903,7.887,11.6605,,4
GJ 1214,M,3026,0.22,0.15,0.39,-2.312,4.94,3,26.20204,15.1,8.782,13.0089,,4.5
LHS 1140,M,3216,0.21,0.19,-0.24,-0.321,5.06,5,25.99071,14.15,8.821,12.6706,V,4.5
GJ 1132,M,3270,0.21,0.18,-0.12,-2.359,4.88,5,15.4,13.68,8.322,12.138,V,4.5
GJ 1061,M,2953,0.16,0.12,-0.08,-2.77,5.16,7,47.5619,12.7,6.61,10.9889,V,5.5
GJ 3512,M,3081,0.14,0.12,-0.07,-2.804,5.16,5.5,47.47816,15.18,8.668,13.1117,V,5.5
Teegardens Star,M,2904,0.11,0.09,-0.19,-3.137,5.27,8,79.80688,15.13,7.585,12.2746,V,7
