hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class,sub_class
mu Leo,K,4538.2,11.4,1.5,0.36,[Fe/H],1.797,2.4,3.35,,III,2
NGC 2682 Sand 364,K,4284,39.59,9.06,-0.02,[Fe/H],2.072,2.2,4.15,,III,3
NGC 2682 Sand 978,K,4200,21.02,1.37,-0.02,[M/H],2.157,1.8,,,III,4
NGC 2682 YBP 1194,G,5780,0.99,1.01,0.023,[Fe/H],-0.011,4.44,4.15,1.43409,V,5
NGC 2682 YBP 1514,G,5725,0.89,0.96,0.03,[Fe/H],-0.018,4.57,4.15,1.12635,V,5
NGC 2682 YBP 401,F,6165,1.22,1.14,-0.046,[M/H],0.289,4.3,,0.83866,V,9
NGTS-1,M,3916,0.57,0.62,0,[M/H],-1.153,4.71,,4.4,V,0
NGTS-10,K,4600,0.7,0.7,-0.02,[M/H],-0.757,4.59,10.4,,V,5
NGTS-11,K,5050,0.83,0.86,0.22,[Fe/H],-0.395,4.5,3.9,2.109,V,
NGTS-12,G,5690,1.59,1.02,-0.03,[Fe/H],0.338,4.04,9.4,0.359,V,
NGTS-14 A,K,5187,0.84,0.9,0.1,[Fe/H],-0.311,4.2,5.9,2.00067,V,1
NGTS-15,G,5600,0.95,0.99,0.15,[Fe/H],-0.086,4.4,3.28,1.61507,V,6
NGTS-16,G,5550,1.21,1,0.35,[Fe/H],0.117,4.35,10.29,0.67558,V,7
NGTS-17,G,5650,1.34,1.02,0.15,[Fe/H],0.241,4,9.22,0.61631,V,4
NGTS-18,G,5610,1.39,1,0.15,[Fe/H],0.27,4.16,10.84,0.53884,V,5
NGTS-2,F,6478,1.7,1.64,-0.06,[Fe/H],0.631,4.2,2.17,0.477,V,5
NGTS-3 A,G,5600,0.93,1.02,0.12,[Fe/H],-0.144,4.45,,1.09,V,6
NGTS-5,K,4987,0.74,0.66,0.12,[Fe/H],-0.511,4.52,,2.81225,V,2
NGTS-8,K,5241,0.98,0.89,0.24,[Fe/H],-0.21,4.41,12.48,1.23245,V,0
NGTS-9,F,6330,1.38,1.34,0.31,[Fe/H],0.389,4.37,0.96,0.64571,V,8
nu Oph,K,4886,14.6,2.7,0.06,[Fe/H],2.039,2.56,0.65,,III,0
OGLE-TR-10,G,5950,1.17,1.14,0.28,[Fe/H],0.188,4.18,3.1,0.509,V,2
OGLE-TR-111,K,5040,0.83,0.82,0.19,,-0.339,4.54,8.8,2.14,V,2
OGLE-TR-113,K,4790,0.77,0.78,0.09,,-0.529,4.55,13.2,2.365,V,4
OGLE-TR-132,F,6210,1.32,1.3,0.37,[Fe/H],0.371,4.31,1.2,0.72,V,5
OGLE-TR-56,F,6050,1.74,1.17,0.25,[Fe/H],0.35,4.09,3,0.361,V,8
ome Ser,G,4770,12.3,2.17,-0.24,[Fe/H],1.85,2.32,,,III,8
omi CrB,K,4749,10.5,2.13,-0.238,[M/H],1.709,2.65,7.827,,III,0
Oph 11,M,2375,0.23,0.02,,,-2.77,4.25,5,22.64533,V,9
PDS 70,K,3972,1.26,0.76,-0.11,[Fe/H],-0.456,3.68,0.005,0.5411,V,7
PH1,F,6407,1.73,1.53,0.21,[Fe/H],0.66,4.14,2,0.293,V,
POTS-1,K,4400,0.59,0.69,-0.03,[Fe/H],-1.087,4.63,,4.814,V,5
Proxima Cen,M,3050,0.14,0.12,,,-2.81,5.16,,48.76265,V,5
psi 1 Dra B,G,6212,1.26,1.19,0.01,[Fe/H],0.326,4.2,3.3,0.88558,V,0
Qatar-10,F,6124,1.25,1.16,0.016,[Fe/H],0.3,4.3,3.2,0.823,V,7
Qatar-3,G,6007,1.27,1.15,-0.041,[Fe/H],0.279,4.29,0.31,0.78,V,0
Qatar-4,K,5215,0.85,0.9,0.103,[Fe/H],-0.318,4.53,0.17,2.07,V,1
Qatar-5,G,5747,1.08,1.13,0.377,[Fe/H],0.056,4.43,0.53,1.286,V,2
Qatar-6,K,5052,0.72,0.82,-0.025,[Fe/H],-0.514,4.64,1.02,3.08,V,2
Qatar-7,F,6387,1.56,1.41,0.276,[Fe/H],0.563,4.2,1.69,0.521,V,4
Qatar-8,G,5738,1.31,1.03,0.025,[Fe/H],0.228,4.21,8.3,0.641,V,0
Qatar-9,K,4309,0.7,0.72,0.252,[Fe/H],-0.821,4.61,7.5,3.015,V,5
rho CrB,G,5627,1.36,0.89,-0.31,[Fe/H],0.232,4.12,10,0.64638,V,0
Ross 128,M,3192,0.2,0.17,-0.02,[M/H],-2.441,5.05,5,27.33385,V,4
Ross 458,M,3646,0.56,0.56,,,-1.298,4.68,,4.40603,V,2
ROXs 12,M,3850,1.07,0.87,0.14,[Fe/H],-0.79,4.07,0.008,0.56288,V,0
RR Cae,M,3904,0.19,0.44,,,-2.108,5.08,,31.76099,V,
tau Boo,F,6466.27,1.43,1.32,0.264,[M/H],0.505,4.25,2,0.64193,V,7
tau Cet,G,5310,0.83,0.78,-0.52,[Fe/H],-0.305,4.52,12.12,2.24358,V,8
tau Gem,K,4388,26.8,2.3,0.14,[Fe/H],2.519,1.96,1.22,,III,2
Teegarden's Star,M,2904,0.11,0.09,-0.19,[Fe/H],-3.137,5.27,8,79.80688,V,7
TIC 237913194,G,5788,1.09,1.03,0.14,[Fe/H],0.078,4.38,5.7,1.076,V,3
TOI-1130,K,4250,0.69,0.68,0.2,[Fe/H],-0.854,4.6,8.2,2.97,V,7
TOI-122,M,3403,0.33,0.31,,,-1.854,4.88,2,12.8,V,3
TOI-1231,M,3553,0.48,0.48,0.041,[Fe/H],-1.487,4.77,,6.31,V,3
TOI-1235,M,3997,0.62,0.63,0.33,[Fe/H],-1.054,4.64,5.3,3.74,V,0
TOI-125,K,5320,0.85,0.86,-0.02,[Fe/H],-0.285,4.52,6.8,1.99,V,0
TOI-1266,M,3600,0.42,0.45,-0.5,[Fe/H],-1.533,4.85,,8.99,V,3
TOI-132,G,5397,0.9,0.97,0.16,[Fe/H],-0.222,4.48,6.34,1.89,V,8
TOI-150,F,6255,1.53,1.35,0.28,[Fe/H],0.497,4.13,2.346,0.5332,V,
TOI-157,G,5404,1.17,0.95,0.24,[Fe/H],0.02,4.28,12.82,0.842,IV,9
TOI-163,F,6495,1.65,1.44,0.22,[Fe/H],0.636,4.19,1.823,0.4518,V,
TOI-169,G,5880,1.29,1.15,0.24,[Fe/H],0.253,4.28,4.7,0.756,V,1
TOI-1728,M,3980,0.62,0.65,0.25,[Fe/H],-1.056,4.66,7.1,3.78,V,0
TOI-178,K,4316,0.65,0.65,-0.23,[Fe/H],-0.879,4.45,7.1,3.31,V,
TOI-1899,M,3841,0.61,0.63,0.31,[Fe/H],-1.057,4.67,7.4,3.95,V,0
TOI-201,F,6394,1.32,1.32,0.24,[Fe/H],0.415,4.32,0.87,0.81,V,6
TOI-220,K,5298,0.86,0.82,-0.217,[Fe/H],-0.267,4.37,10.1,1.84687,V,0
TOI-237,M,3212,0.21,0.18,,,-2.387,5.04,4.5,25.6,V,5
TOI-269,M,3514,0.4,0.39,-0.29,[Fe/H],-1.647,4.83,,8.98,V,2
TOI-270,M,3386,0.38,0.4,-0.17,[Fe/H],-1.77,4.84,,10.5,V,3
TOI-421,G,5325,0.87,0.85,-0.02,[Fe/H],-0.268,4.49,9.4,2.72,V,9
TOI-481,G,5735,1.66,1.14,0.26,[Fe/H],0.435,4.06,6.7,12.52,IV,
TOI-519,M,3350,0.37,0.37,,,-1.857,5,,12.2,V,3
TOI-540,M,3216,0.19,0.16,,,-2.461,4.44,1.1,30.58604,V,
TOI-561,G,5455,0.85,0.79,-0.33,[Fe/H],-0.282,4.47,5,1.809,V,9
TOI-677,F,6295,1.28,1.18,0,[Fe/H],0.312,4.29,2.92,0.8,V,8
TOI-700,M,3461,0.42,0.41,-0.07,[Fe/H],-1.635,4.8,1.5,7.68,V,2
TOI-763,G,5450,0.9,0.92,0.01,[Fe/H],-0.154,4.45,,1.83425,V,
TOI-776,M,3709,0.54,0.54,-0.2,[Fe/H],-1.31,4.73,7.8,6.024,V,1
TOI-813,G,5907,1.94,1.32,0.1,[Fe/H],0.619,3.86,3.73,0.254,IV,0
TOI-824,K,4600,0.69,0.71,-0.092,[Fe/H],-0.71,4.61,7.5,2.98,V,4
TOI-837,G,6047,1.02,1.12,-0.069,[Fe/H[,0.041,4.47,0.035,1.4,V,0
TOI-849,G,5373.8,0.92,0.93,0.19,[Fe/H],-0.218,4.48,6.7,1.685,V,
TOI-892,F,6261,1.39,1.28,0.24,[Fe/H],0.431,4.26,2.2,0.482,V,
TOI-942,K,4928,1.02,0.79,-0.221,[Fe/H],-0.369,4.31,0.09,1.634,V,2
TrES-1,K,5230,0.85,1.04,0.02,[Fe/H],-0.301,4.57,3.7,2.37,V,0
TrES-2,G,5850,1.12,1.36,-0.15,[Fe/H],0.038,4.43,3.55,1.38,V,0
TrES-3,G,5650,0.83,0.93,-0.2,[Fe/H],-0.204,4.57,1,2.322,V,4
TrES-4,F,6200,1.66,1.08,0.14,[Fe/H],0.726,4.06,2.2,0.33,V,8
TYC 8998-760-1,K,4573,0.95,1,,,-0.339,4.29,0.017,0.98576,IV,3
ups And,F,6156.77,1.56,1.3,0.101,[M/H],0.525,4.13,5,0.36993,V,8
USco CTIO 108,M,2700,0.35,0.06,,,-1.95,4.88,,11.25459,V,7
USco1556 A,M,3410,0.67,0.33,,,-1.09,4.59,0.007,3.02807,V,3
USco1621 A,M,3460,0.71,0.36,,,-1.02,4.25,0.007,1.14465,V,2.5
V0391 Peg,B,29300,0.23,0.5,,,1.433,5.4,10,80.3914,V,
V1298 Tau,K,4970,1.34,1.1,0.139,[M/H],-0.03,4.25,0.023,0.679,V,0
WASP-1,F,6110,1.47,1.24,0.17,[Fe/H],0.441,4.21,3.4,0.548,V,7
WASP-10,K,4675,0.7,0.75,0.05,[Fe/H],-0.64,4.63,7,2.13,V,5
WASP-100,F,6900,1.57,0.77,-0.03,[Fe/H],0.766,4.35,1.57,0.28,IV,2
WASP-101,F,6380,1.31,1.41,0.2,[Fe/H],0.421,4.31,1.14,0.89,V,6
WASP-103,F,6110,1.44,1.22,0.06,[Fe/H],0.413,4.22,4,0.583,V,8
WASP-104,G,5475,0.96,1.08,0.32,[Fe/H],-0.19,4.5,3,1.7,V,8
WASP-105,K,5070,0.9,0.89,0.28,[Fe/H],-0.024,4.2,,1.73,V,2
WASP-106,F,6055,1.31,0.93,-0.09,[Fe/H],0.422,4.23,7,0.57,V,9
WASP-107,K,4425,0.67,0.68,0.02,[Fe/H],-0.879,4.63,3.4,3.441,V,6
WASP-11,K,4800,0.89,1.42,0,[Fe/H],0,4.45,7.6,2.8,V,3
WASP-110,G,5400,0.86,0.95,-0.06,[Fe/H],-0.229,4.1,,2.07714,V,9
WASP-113,G,5890,1.61,1.32,0.1,[Fe/H],0.516,4.2,6.2,0.447,V,1
WASP-114,G,5940,1.43,1.29,0.14,[Fe/H],0.333,4.3,4.3,0.619,IV,0
WASP-117,F,6040,1.22,1.29,-0.11,[Fe/H],0.274,4.28,4.6,1,V,9
WASP-118,F,6410,1.7,1.32,0.16,[Fe/H],0.659,4.1,1.17,0.382,V,6
WASP-119,G,5650,1.2,1.02,0.14,[Fe/H],0.075,4.26,8,0.76,IV,5
WASP-120,F,6450,1.87,1.39,-0.05,[Fe/H],0.675,4.04,2.6,0.299,IV,5
WASP-121,F,6459,1.46,1.35,0.13,[Fe/H],0.519,4.24,1.5,0.616,V,6
WASP-123,G,5740,1.28,1.17,0.18,[Fe/H],0.162,4.29,6.9,0.773,IV,5
WASP-124,F,6050,1.02,1.07,-0.02,[Fe/H],0.149,4.44,2.1,1.39,V,9
WASP-126,G,5800,1.27,1.12,0.207,[M/H],0.159,4.28,6.4,0.79,IV,2
WASP-129,G,5900,0.9,1,0.15,[Fe/H],0.112,4.53,1,1.94,V,1
WASP-130,G,5625,0.96,1.04,0.26,[Fe/H],-0.032,4.49,2,1.66,V,6
WASP-131,G,6030,1.53,1.06,-0.18,[Fe/H],0.53,4.09,4.5,0.411,V,0
WASP-132,K,4775,0.74,0.8,0.22,[Fe/H],-0.584,4.61,0.5,2.82,V,4
WASP-133,G,5700,1.44,1.16,0.29,[Fe/H],0.305,4.18,6.8,0.55,V,4
WASP-135,G,5675,0.96,0.98,0.02,[Fe/H],-0.326,4.47,0.6,1.58,V,5
WASP-139,K,5310,0.8,0.92,0.2,[Fe/H],-0.345,4.59,0.5,2.5,V,0
WASP-140,K,5260,0.87,0.9,0.12,[Fe/H],-0.294,4.51,0.5,1.94,V,0
WASP-141,F,5900,1.37,1.25,0.29,[Fe/H],0.315,4.26,5,0.69,V,9
WASP-142,F,6010,1.64,1.33,0.26,[Fe/H],0.513,4.13,2,0.42,V,8
WASP-144,K,5200,0.81,0.81,0.18,,-0.129,4.53,8.71,2.17,V,2
WASP-145 A,K,4900,0.68,0.76,-0.04,,-0.684,4.65,6.99,3.36,V,2
WASP-147,G,5702,1.43,1.04,0.092,[Fe/H],0.287,4.21,8.47,0.509,V,4
WASP-148,G,5460,1.03,1,0.11,[Fe/H],-0.156,4.4,,1.3,V,
WASP-15,F,6300,1.48,1.18,-0.17,[Fe/H],0.49,4.35,2.4,0.52,V,7
WASP-150,F,6218,1.65,1.39,0.156,[Fe/H],0.558,4.15,2.95,0.619,V,8
WASP-151,G,5871,1.14,1.08,0.1,[Fe/H],0.145,4.35,5.1,1.02,V,1
WASP-153,G,5914,1.73,1.34,0.34,[Fe/H],0.46,4.1,4,0.37,IV,0
WASP-156,K,4910,0.76,0.84,0.24,[Fe/H],-0.435,4.6,6.4,2.68,V,3
WASP-157,G,5772,1.1,1.06,0.25,[Fe/H],0.079,4.38,1.6,1.4,V,2
WASP-158,F,6350,1.39,1.38,0.24,,0.483,4.3,1.93,0.75,V,6
WASP-159,F,6120,2.11,1.41,0.22,,0.678,3.94,3.4,0.21,IV,9
WASP-160 B,K,5298,0.87,0.87,0.27,[Fe/H],-0.318,4.5,9.75,1.89,V,0
WASP-162,K,5300,1.11,0.95,0.28,,0.054,4.33,12.97,1,V,0
WASP-164,G,5806,0.93,0.95,-0.01,[Fe/H],-0.067,4.46,4.08,1.642,V,2
WASP-165,G,5599,1.75,1.25,0.33,[Fe/H],0.428,3.93,4.77,0.328,V,6
WASP-166,F,6050,1.22,1.19,0.19,[Fe/H],0.283,4.34,2.1,0.92,V,9
WASP-167,F,7000,1.79,1.59,0.1,[Fe/H],0.897,4.13,1.29,0.39,V,1
WASP-168,F,6000,1.12,1.08,-0.01,,0.155,4.37,3.96,1.1,V,9
WASP-169,F,6110,2.01,1.34,0.06,[Fe/H],0.789,3.96,3.802,0.234,V,8
WASP-17,F,6550,1.49,2.28,-0.25,[Fe/H],0.613,4.2,2.65,0.98,V,4
WASP-171,G,5965,1.64,1.17,0.04,[Fe/H],0.672,4.08,5.908,0.381,V,0
WASP-172,F,6900,1.91,1.49,-0.1,,0.934,4.05,1.79,0.3,V,1
WASP-173 A,G,5800,1.11,1.05,0.16,,0.083,4.37,6.78,1.1,V,3
WASP-174,F,6400,1.31,1.3,0.09,[Fe/H],0.426,4.32,1.65,0.8,V,6
WASP-175,F,6229,1.2,1.21,0.15,[Fe/H],0.789,4.36,1.745,0.977,V,7
WASP-176,F,5941,1.93,1.34,0.164,[Fe/H],0.617,4,4.81,0.371,V,9
WASP-177,K,5017,0.89,0.88,0.25,[Fe/H],-0.412,4.49,9.7,1.78,V,2
WASP-178,A,9360,1.67,2.07,0.21,[Fe/H],1.215,4.31,0.43,0.62,IV-V,1
WASP-18,F,6400,1.23,1.22,0.11,[Fe/H],0.39,4.37,1,0.694,IV-V,6
WASP-180 A,F,6600,1.19,1.3,0.1,[Fe/H],0.315,4.42,1.2,1.17,V,7
WASP-181,G,5839,0.96,1.04,0.09,[Fe/H],0.049,4.49,2.5,1.64,V,2
WASP-182,G,5638,1.34,1.08,0.27,[Fe/H],0.155,4.22,5.952,0.636,V,5
WASP-183,G,5313,0.87,0.78,-0.31,[Fe/H],-0.209,4.45,14.9,1.68,V,9
WASP-184,G,6000,1.65,1.23,0.12,[Fe/H],0.501,4.09,4.7,0.38,V,0
WASP-185,G,5900,1.5,1.12,-0.02,[Fe/H],0.412,4.13,6.6,0.47,V,0
WASP-186,F,6361,1.47,1.22,-0.08,[Fe/H],0.5,4.19,3.1,0.546,V,
WASP-187,F,6150,2.83,1.54,0,[Fe/H],0.967,3.72,2.55,0.096,IV,
WASP-19,G,5568,1,0.9,0.15,[Fe/H],-0.059,4.45,11.5,1.258,V,8
WASP-190,F,6400,1.6,1.35,-0.02,[Fe/H],0.691,4.17,,0.48,IV-V,6
WASP-192,G,5910,1.32,1.09,0.14,[Fe/H],0.282,4.24,5.7,0.671,V,0
WASP-2,K,5180,0.87,0.9,0.12,[Fe/H],-0.313,4.51,8.2,1.94,V,1
WASP-20,F,5940,1.39,1.2,-0.008,[Fe/H],0.338,4.23,7,0.63,IV,9
WASP-21,G,5800,1.06,1.01,-0.22,[M/H],0.304,4.28,12,0.827,V,3
WASP-22,G,6000,1.24,1.46,-0.05,[Fe/H],0.245,4.5,3,1.08,V,1
WASP-28,F,6150,1.09,1.02,-0.29,[Fe/H],0.15,4.37,5,1.104,V,8
WASP-33,A,7430,1.44,1.5,0.1,[M/H],0.819,4.25,,0.7,V,5
WASP-38,F,6180,1.52,1.76,-0.02,[Fe/H],0.453,4.25,3.29,0.71,V,8
WASP-4,G,5400,0.89,0.86,-0.07,[Fe/H],-0.179,4.47,7,1.711,V,8
WASP-43,K,4400,0.6,0.58,-0.01,[Fe/H],-0.825,4.49,7,2.526,V,7
WASP-44,G,5420,0.91,0.94,-0.003,[Fe/H],-0.198,4.49,10.3,1.77,V,8
WASP-45,K,5150,0.85,0.85,-0.03,[Fe/H],-0.336,4.5,12.7,1.92,V,2
WASP-46,G,5600,0.86,0.83,-0.3,[Fe/H],-0.111,4.49,9.6,1.845,V,6
WASP-49,G,5600,0.97,0.92,-0.23,[Fe/H],-0.053,4.5,11.9,1.43,V,6
WASP-5,G,5700,1.03,0.96,0.09,[Fe/H],0.067,4.39,5.4,1.24,IV-V,5
WASP-52,K,5000,0.79,0.87,0.03,[Fe/H],-0.354,4.58,0.4,2.48,V,2
WASP-54,F,6100,1.76,1.08,-0.27,[Fe/H],0.575,4,6.9,0.28,V,9
WASP-56,G,5600,0.96,0.71,0.12,[Fe/H],0.103,4.5,6.2,1.14,V,6
WASP-57,G,5600,0.93,0.89,-0.25,[Fe/H],-0.005,4.45,2.6,1.568,V,6
WASP-58,G,5800,1.22,1.06,-0.45,[Fe/H],0.16,4.27,12.8,0.83,V,2
WASP-59,K,4650,0.61,0.72,-0.15,[Fe/H],-0.794,4.72,0.5,4.38,V,5
WASP-60,G,5900,1.17,1.19,-0.04,[Fe/H],0.347,4.2,1.7,1.03,V,1
WASP-64,G,5400,1.06,1,-0.08,[Fe/H],-0.022,4.39,1.2,1.196,V,7
WASP-65,G,5600,1.01,0.93,-0.07,[Fe/H],0.055,4.4,8,1.28,V,6
WASP-68,G,5910,1.79,1.49,0.22,[Fe/H],0.505,4.17,5.7,0.36,V,0
WASP-69,K,4700,0.86,0.98,0.15,[Fe/H],-0.468,4.5,7,2.18,V,5
WASP-70 A,G,5763,1.22,1.11,-0.006,[Fe/H],0.162,4.31,9.5,0.872,V,4
WASP-71,F,6050,1.82,0.76,0.15,[Fe/H],0.768,3.9,3,0.18,V,8
WASP-72,F,6250,2.18,2.78,-0.06,[Fe/H],0.724,4.09,3.2,0.38,IV-V,7
WASP-73,F,6030,2.55,2.52,0.14,[Fe/H],0.795,3.93,4.3,0.21,IV,9
WASP-74,F,5990,1.42,0.98,0.39,[Fe/H],0.4,4.39,3.7,0.48,V,9
WASP-75,F,6100,1.26,1.14,0.07,[Fe/H],0.304,4.29,3.5,0.79,V,9
WASP-76,F,6250,1.73,1.46,0.23,[Fe/H],0.689,4.13,5.3,0.403,IV-V,7
WASP-77 A,G,5365,1.09,1.49,-0.34,[Fe/H],-0.113,4.33,1,1.64,V,8
WASP-8,G,5600,1.03,1.34,0.17,[Fe/H],-0.058,4.5,4,1.74,V,8
WASP-80,K,4143,0.59,0.58,-0.13,[Fe/H],-1.04,4.66,7,4.05,V,7
WASP-82,F,6480,2.1,1.48,0.12,[Fe/H],0.794,3.96,,0.22,V,5
WASP-83,G,5510,1.05,1.11,0.29,[Fe/H],-0.05,4.44,5,1.4,V,8
WASP-84,K,5314,0.75,0.84,0,[Fe/H],-0.325,4.4,1,2.839,V,0
WASP-85 A,G,6112,0.94,1.09,0.118,[M/H],-0.071,4.5,,1.875,V,5
WASP-88,F,6430,1.8,0.94,-0.08,[Fe/H],0.724,3.96,3,0.23,V,6
WASP-89,K,5130,0.88,0.92,0.15,[Fe/H],-0.343,4.51,1.3,1.92,V,3
WASP-90,F,6430,1.98,1.55,0.11,[Fe/H],0.63,4.03,4.4,0.28,IV,6
WASP-91,K,4920,0.86,0.84,0.19,[Fe/H],-0.383,4.3,,1.83,V,3
WASP-92,F,6280,1.34,1.19,0,[Fe/H],0.275,4.26,2.29,0.697,V,7
WASP-93,F,6700,1.52,1.33,0.07,[Fe/H],0.618,4.2,0.7,0.53,V,4
WASP-94 A,F,6170,1.48,1.67,0.26,[Fe/H],0.51,4.27,2.7,0.73,V,8
WASP-94 B,F,6040,1.35,1.24,0.23,[Fe/H],0.351,4.26,4,0.54332,IV,9
WASP-95,G,5830,1.23,1.46,0.14,[Fe/H],0.178,4.36,2.4,1.09,V,2
WASP-96,G,5540,1.05,1.06,0.14,[Fe/H],0.032,4.42,8,1.299,V,8
WASP-97,G,5640,1.08,1.18,0.23,[Fe/H],0.071,4.45,4.8,1.34,V,5
WASP-98,G,5473,0.74,0.81,-0.49,[Fe/H],-0.358,4.61,2.7,2.801,V,7
WASP-99,F,6150,1.64,1.21,0.21,[Fe/H],0.543,4.3,3,0.39,V,8
Wendelstein-1,K,4251,0.61,0.65,,,-0.938,4.55,,2.5907,V,7
Wendelstein-2,K,4591,0.66,0.73,,,-0.834,4.53,,2.35899,V,6
Wolf 1061,M,3342,0.31,0.29,-0.09,[Fe/H],-1.991,4.9,,12.74782,V,3
Wolf 503,K,4716,0.69,0.69,-0.47,[Fe/H],-0.644,4.62,11,4.10627,V,3
WTS-1,F,6250,1.15,1.2,-0.5,[Fe/H],0.088,4.4,2.55,1.1129,V,6
WTS-2,K,5000,0.75,0.82,0.2,[Fe/H],-0.288,4.6,0.6,2.72,V,2
xi Aql,G,4780,12,2.2,-0.205,[Fe/H],1.839,2.66,7.1,,III,9
XO-1,G,5750,0.88,0.88,0.02,[Fe/H],-0.086,4.51,0.9,1.79,V,1
XO-2 N,K,5340,0.99,0.97,0.43,,-0.088,4.43,7.8,1.41,V,0
XO-3,F,6429,1.54,0.58,-0.18,[Fe/H],0.706,3.95,2.82,0.22,V,5
XO-4,F,6397,1.45,1.1,-0.04,[Fe/H],0.536,4.18,2.1,0.5,V,5
XO-5,G,5430,1.13,1.04,0.05,[Fe/H],-0.06,4.35,8.5,1.01,V,8
XO-6,F,6720,1.93,1.47,-0.07,[Fe/H],0.536,4.04,1.88,1,IV,5
XO-7,G,6250,1.48,1.41,0.432,[Fe/H],0.431,4.25,1.18,0.45108,V,0
YSES 2,K,4749,1.19,1.1,,,-0.185,4.25,0.014,0.82845,V,1
